H,Captain America,50,1000,6,80,1,100,Shield throw,I can do this all day,Shield Up
A,Deadpool,50,700,6,80,3,90,Try Harder,8 bullets left,Can't Catch Me
H,Dr Strange,50,1500,6,60,2,60,The eye of agamotto,Thousand Hand,Mirror Dimension
V,Electro,50,1200,5,75,3,110,Fully Charged,EMP,Lightning Strike
A,Ghost Rider,50,600,6,85,1,140,Death stare,Fire Breath,Chain Whip
V,Hela,50,750,5,75,1,150,Godess of Death,Thorn Shield,Thorn Shower
H,Hulk,50,550,5,55,1,200,Rage,Hulk Smash,Sun is getting real low
H,Iceman,50,900,5,65,2,120,Frost bite,SubZero,Hail Storm
H,Ironman,50,800,7,85,3,90,I am Ironman,Unibeam,3000
V,Loki,50,900,5,70,1,150,God of Mischief,The Hidden Dagger,Fake Death
V,Quicksilver,50,650,8,99,1,70,Time in a bottle,Good as new,1 sec 100 punch
H,Spiderman,50,750,7,85,1,120,give me that,web trap,Spiderverse
H,Thor,50,800,7,90,1,130,God of Thunder,Mjollnir Throw,Bring Me Thanos
A,Venom,50,700,5,70,1,140,Head Bite,We are venom,Symbiosis
V,Yellow Jacket,50,800,6,60,2,80,Laser Sting,QuANTaMANia,Pym Particle Upsize
